CpdClass1	CpdClass2	BioSim
SM-I-closed	SM-I-closed	0.854
SM-I-closed	SM-I-closed	0.898
SM-I-closed	SM-I-closed	0.889
SM-I-closed	SM-I-closed	0.888
SM-I-closed	SM-I-opened	0.718
SM-I-closed	SM-I-opened	0.587
SM-I-closed	SM-I-opened	0.716
SM-I-closed	SM-I-opened	0.805
SM-I-closed	SM-I-opened	0.853
SM-I-closed	SM-I-opened	0.832
SM-I-closed	SM-I-opened	0.864
SM-I-closed	SM-I-opened	0.835
SM-I-closed	SM-I-opened	0.886
SM-I-closed	SM-I-opened	0.799
SM-I-closed	SM-I-opened	0.917
SM-I-closed	SM-I-opened	0.906
SM-I-closed	SM-I-opened	0.74
SM-I-closed	SM-I-opened	0.61
SM-I-closed	SM-I-opened	0.794
SM-I-closed	SM-I-opened	0.889
SM-I-closed	SM-I-opened	0.868
SM-I-closed	SM-I-opened	0.886
SM-I-closed	SM-I-opened	0.766
SM-I-closed	SM-I-opened	0.574
SM-I-closed	SM-I-opened	0.828
SM-I-closed	SM-I-opened	0.862
SM-I-closed	SM-I-opened	0.784
SM-I-closed	SM-I-opened	0.818
SM-I-closed	SM-I-opened	0.713
SM-I-closed	SM-I-opened	0.504
SM-I-closed	SM-I-opened	0.796
SM-I-closed	SM-I-opened	0.881
SM-I-closed	SM-I-opened	0.765
SM-I-closed	SM-I-opened	0.806
SM-I-closed	SM-I-opened	0.811
SM-I-closed	SM-I-opened	0.654
SM-I-closed	SM-I-opened	0.89
SM-I-closed	SM-I-opened	0.933
SM-I-closed	SM-I-opened	0.903
SM-I-closed	SM-I-opened	0.915
SM-I-opened	SM-I-opened	0.804
SM-I-opened	SM-I-opened	0.811
SM-I-opened	SM-I-opened	0.727
SM-I-opened	SM-I-opened	0.865
SM-I-opened	SM-I-opened	0.826
SM-I-opened	SM-I-opened	0.804
SM-I-opened	SM-I-opened	0.75
SM-I-opened	SM-I-opened	0.573
SM-I-opened	SM-I-opened	0.819
SM-I-opened	SM-I-opened	0.705
SM-I-opened	SM-I-opened	0.811
SM-I-opened	SM-I-opened	0.75
SM-I-opened	SM-I-opened	0.891
SM-I-opened	SM-I-opened	0.851
SM-I-opened	SM-I-opened	0.895
SM-I-opened	SM-I-opened	0.727
SM-I-opened	SM-I-opened	0.573
SM-I-opened	SM-I-opened	0.891
SM-I-opened	SM-I-opened	0.829
SM-I-opened	SM-I-opened	0.914
SM-I-opened	SM-I-opened	0.865
SM-I-opened	SM-I-opened	0.819
SM-I-opened	SM-I-opened	0.851
SM-I-opened	SM-I-opened	0.829
SM-I-opened	SM-I-opened	0.913
SM-I-opened	SM-I-opened	0.826
SM-I-opened	SM-I-opened	0.705
SM-I-opened	SM-I-opened	0.895
SM-I-opened	SM-I-opened	0.914
SM-I-opened	SM-I-opened	0.913
