CpdClass1	CpdClass2	BioSim
NPs	QN-C-R	0.637
NPs	QN-C-R	0.797
NPs	QN-C-R	0.757
NPs	QN-C-R	0.601
NPs	QN-C-R	0.741
NPs	QN-C-R	0.785
NPs	QN-C-R	0.7
NPs	QN-C-R	0.763
NPs	QN-C-R	0.772
NPs	QN-C-R	0.742
NPs	QN-C-R	0.655
NPs	QN-C-R	0.717
NPs	QN-C-R	0.634
NPs	QN-C-R	0.712
NPs	QN-C-R	0.773
NPs	QN-C-R	0.763
NPs	QN-C-R	0.757
NPs	QN-C-R	0.702
NPs	QN-C-R	0.763
NPs	QN-C-R	0.829
NPs	QN-C-R	0.904
NPs	QN-C-R	0.85
NPs	QN-C-R	0.862
NPs	QN-C-R	0.545
NPs	QN-C-R	0.46
NPs	QN-C-R	0.333
NPs	QN-C-R	0.446
NPs	QN-C-R	0.305
NPs	QN-C-R	0.362
NPs	QN-C-R	0.474
NPs	QN-C-R	0.472
NPs	QN-C-R	0.776
NPs	QN-C-R	0.719
NPs	QN-C-R	0.496
NPs	QN-C-R	0.743
NPs	QN-C-R	0.814
NPs	QN-C-R	0.636
NPs	QN-C-R	0.628
NPs	QN-C-S	0.607
NPs	QN-C-S	0.803
NPs	QN-C-S	0.672
NPs	QN-C-S	0.797
NPs	QN-C-S	0.712
NPs	QN-C-S	0.689
NPs	QN-C-S	0.633
NPs	QN-C-S	0.866
NPs	QN-C-S	0.814
NPs	QN-C-S	0.795
NPs	QN-C-S	0.775
NPs	QN-C-S	0.864
NPs	QN-C-S	0.502
NPs	QN-C-S	0.76
NPs	QN-C-S	0.531
NPs	QN-C-S	0.681
NPs	QN-C-S	0.563
NPs	QN-C-S	0.645
NPs	QN-I	0.584
NPs	QN-I	0.738
NPs	QN-I	0.692
NPs	QN-I	0.758
NPs	QN-I	0.731
NPs	QN-I	0.852
NPs	QN-I	0.513
NPs	QN-I	0.754
NPs	QN-I	0.76
NPs	QN-I	0.85
NPs	QN-I	0.785
NPs	QN-I	0.744
NPs	QN-I	0.483
NPs	QN-I	0.651
NPs	QN-I	0.486
NPs	QN-I	0.689
NPs	QN-I	0.586
NPs	QN-I	0.738
