CpdClass1	CpdClass2	BioSim
GF-I-1	GF-I-1	0.738
GF-I-1	GF-I-1	0.687
GF-I-1	GF-I-1	0.846
GF-I-1	GF-I-1	0.786
GF-I-1	GF-I-1	0.735
GF-I-1	GF-I-1	0.681
GF-I-1	GF-I-1	0.848
GF-I-1	GF-I-1	0.481
GF-I-1	GF-I-1	0.69
GF-I-1	GF-I-1	0.711
GF-I-1	GF-I-1	0.683
GF-I-1	GF-I-1	0.716
GF-I-1	GF-I-1	0.884
GF-I-1	GF-I-1	0.644
GF-I-1	GF-I-1	0.524
GF-I-1	GF-I-1	0.815
GF-I-1	GF-I-1	0.542
GF-I-1	GF-I-1	0.696
GF-I-1	GF-I-1	0.677
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.919
GF-I-1	GF-I-1	0.855
GF-I-1	GF-I-1	0.776
GF-I-1	GF-I-1	0.486
GF-I-1	GF-I-1	0.416
GF-I-1	GF-I-1	0.531
GF-I-1	GF-I-1	0.161
GF-I-1	GF-I-1	0.712
GF-I-1	GF-I-1	0.61
GF-I-1	GF-I-1	0.509
GF-I-1	GF-I-1	0.566
GF-I-1	GF-I-1	0.724
GF-I-1	GF-I-1	0.585
GF-I-1	GF-I-1	0.263
GF-I-1	GF-I-1	0.658
GF-I-1	GF-I-1	0.694
GF-I-1	GF-I-1	0.754
GF-I-1	GF-I-1	0.738
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.616
GF-I-1	GF-I-1	0.67
GF-I-1	GF-I-1	0.838
GF-I-1	GF-I-1	0.729
GF-I-1	GF-I-1	0.62
GF-I-1	GF-I-1	0.872
GF-I-1	GF-I-1	0.469
GF-I-1	GF-I-1	0.794
GF-I-1	GF-I-1	0.763
GF-I-1	GF-I-1	0.717
GF-I-1	GF-I-1	0.745
GF-I-1	GF-I-1	0.902
GF-I-1	GF-I-1	0.62
GF-I-1	GF-I-1	0.493
GF-I-1	GF-I-1	0.795
GF-I-1	GF-I-1	0.558
GF-I-1	GF-I-1	0.703
GF-I-1	GF-I-1	0.687
GF-I-1	GF-I-1	0.919
GF-I-1	GF-I-1	0.616
GF-I-1	GF-I-1	0.852
GF-I-1	GF-I-1	0.765
GF-I-1	GF-I-1	0.833
GF-I-1	GF-I-1	0.799
GF-I-1	GF-I-1	0.833
GF-I-1	GF-I-1	0.522
GF-I-1	GF-I-1	0.749
GF-I-1	GF-I-1	0.827
GF-I-1	GF-I-1	0.787
GF-I-1	GF-I-1	0.766
GF-I-1	GF-I-1	0.842
GF-I-1	GF-I-1	0.846
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.876
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.742
GF-I-1	GF-I-1	0.846
GF-I-1	GF-I-1	0.855
GF-I-1	GF-I-1	0.67
GF-I-1	GF-I-1	0.852
GF-I-1	GF-I-2	0.914
GF-I-1	GF-I-2	0.895
GF-I-1	GF-I-2	0.845
GF-I-1	GF-I-2	0.803
GF-I-1	GF-I-2	0.85
GF-I-1	GF-I-2	0.748
GF-I-1	GF-I-2	0.785
GF-I-1	GF-I-2	0.694
GF-I-1	GF-I-2	0.739
GF-I-1	GF-I-2	0.533
GF-I-1	GF-I-2	0.803
GF-I-1	GF-I-2	0.6
GF-I-1	GF-I-2	0.527
GF-I-1	GF-I-2	0.725
GF-I-1	GF-I-2	0.554
GF-I-1	GF-I-2	0.652
GF-I-1	GF-I-2	0.458
GF-I-1	GF-I-2	0.584
GF-I-1	GF-I-2	0.812
GF-I-1	GF-I-2	0.798
GF-I-1	GF-I-2	0.803
GF-I-1	GF-I-2	0.756
GF-I-1	GF-I-2	0.424
GF-I-1	GF-I-2	0.373
GF-I-1	GF-I-2	0.596
GF-I-1	GF-I-2	0.444
GF-I-1	GF-I-2	0.475
GF-I-1	GF-I-2	0.37
GF-I-1	GF-I-2	0.486
GF-I-1	GF-I-2	0.774
GF-I-1	GF-I-2	0.726
GF-I-1	GF-I-2	0.862
GF-I-1	GF-I-2	0.681
GF-I-1	GF-I-2	0.641
GF-I-1	GF-I-2	0.57
GF-I-1	GF-I-2	0.713
GF-I-1	GF-I-2	0.584
GF-I-1	GF-I-2	0.73
GF-I-1	GF-I-2	0.436
GF-I-1	GF-I-2	0.534
GF-I-1	GF-I-2	0.919
GF-I-1	GF-I-2	0.885
GF-I-1	GF-I-2	0.591
GF-I-1	GF-I-2	0.646
GF-I-1	GF-I-2	0.286
GF-I-1	GF-I-2	0.2
GF-I-1	GF-I-2	0.376
GF-I-1	GF-I-2	0.244
GF-I-1	GF-I-2	0.434
GF-I-1	GF-I-2	0.064
GF-I-1	GF-I-2	0.203
GF-I-1	GF-I-2	0.693
GF-I-1	GF-I-2	0.602
GF-I-1	GF-I-2	0.488
GF-I-1	GF-I-2	0.345
GF-I-1	GF-I-2	0.864
GF-I-1	GF-I-2	0.824
GF-I-1	GF-I-2	0.887
GF-I-1	GF-I-2	0.791
GF-I-1	GF-I-2	0.88
GF-I-1	GF-I-2	0.667
GF-I-1	GF-I-2	0.744
GF-I-1	GF-I-2	0.729
GF-I-1	GF-I-2	0.758
GF-I-1	GF-I-2	0.525
GF-I-1	GF-I-2	0.727
GF-I-1	GF-I-2	0.724
GF-I-1	GF-I-2	0.682
GF-I-1	GF-I-2	0.82
GF-I-1	GF-I-2	0.709
GF-I-1	GF-I-2	0.799
GF-I-1	GF-I-2	0.591
GF-I-1	GF-I-2	0.707
GF-I-1	GF-I-2	0.793
GF-I-1	GF-I-2	0.837
GF-I-1	GF-I-2	0.694
GF-I-1	GF-I-2	0.798
