Compound_Id	CpdClass	Smiles
409055	S-C-R	COc1ccc2c(c1)C(=O)C[C@]1(CC[C@@H]3[C@@H]4Cc5ccc(OC)c(O)c5[C@]3(CCN4C)C1)O2
409721	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(C)ccc2O1)C3
409722	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2ccc(C)cc2O1)C3
409049	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(C)c(C)cc2O1)C3
409723	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(F)ccc2O1)C3
409725	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(Br)ccc2O1)C3
409727	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2c(ccc4ccccc24)O1)C3
409728	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2ccc4ccccc4c2O1)C3
409730	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(Cl)c(C)cc2O1)C3
409732	S-C-R	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1CC[C@]1(CC(=O)c2cc(OCc4ccccc4)ccc2O1)C3
409709	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccccc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409712	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(C)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409713	S-I-closed	COc1ccc2[nH]c3c(c2c1)C[C@@H]1[C@@H]2Cc4ccc(OC)c5c4[C@]1(CCN2C)[C@@H]3O5
409714	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(C)cccc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409715	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(C(C)C)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409716	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(Cl)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409717	S-I-closed	COc1ccc2c3c1O[C@@H]1c4c(c5ccccc5n4-c4ccccc4)C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410431	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(C)c(C)ccc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409718	S-I-closed	COc1ccc2c3c1O[C@@H]1c4c(c5ccccc5n4Cc4ccccc4)C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410429	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(C)cc(C)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409675	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(Cl)ccc(Cl)c5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409676	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(Oc6ccccc6)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409719	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc6ccccc6c5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409677	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(C)ccc(Cl)c5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410432	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(F)ccc(Br)c5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410433	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(F)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410434	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5c(ccc6ccccc65)c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
409678	S-I-closed	COc1ccc2c3c1O[C@@H]1c4[nH]c5ccc(OCc6ccccc6)cc5c4C[C@@H]4[C@H](C2)N(C)CC[C@@]314
410435	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccccc12)C3
410436	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc(C)cc12)C3
410437	S-I-opened	COc1ccc2[nH]c3c(c2c1)C[C@@H]1[C@@H]2Cc4ccc(OC)c(O)c4[C@]1(CCN2C)C3
410438	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2c(C)cccc12)C3
410439	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc(C(C)C)cc12)C3
410440	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc(Cl)cc12)C3
410441	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2cc(C)cc(C)c12)C3
