SMILES	Molecule Name	Error/Warning	NP class probability
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C(C)C)ccc4O3)c2c1	18	None	0.78
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4c(OC)cccc4O3)c2c1	19	None	0.74
COc1ccc2c(c1)C(=O)CC1(CN3CCC1CC3C(O)c1ccnc3ccc(OC)cc13)O2	20	None	0.74
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(O)ccc4O3)c2c1	21	None	0.76
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(O)c(C)c4O3)c2c1	22	None	0.76
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(N5CCCC5)cc4O3)c2c1	23	None	0.29
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc5ccccc5c4O3)c2c1	24	None	0.72
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4ccc(C)cc4O3)c2c1	25	None	0.74
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cccc(Cl)c4O3)c2c1	26	None	0.27
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Cl)c(C)cc4O3)c2c1	27	None	0.26
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4c(cccc4N4CCCC4)O3)c2c1	28	None	0.29
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cccc(Br)c4O3)c2c1	29	None	0.31
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Cl)cc(Br)c4O3)c2c1	30	None	0.27
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Br)c(C)cc4O3)c2c1	31	None	0.28
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(OC(F)(F)F)ccc4O3)c2c1	32	None	0.17
COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C(F)(F)F)ccc4O3)c2c1	33	None	0.17
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccccc34)c2c1	34	None	0.86
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C)cc34)c2c1	35	None	0.88
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(Cl)cc34)c2c1	36	None	0.34
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(Cl)ccc34)c2c1	37	None	0.34
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(F)cc34)c2c1	38	None	0.3
COC(=O)c1cccc2[nH]c3c(c12)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12	39	None	0.84
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C(F)(F)F)cc34)c2c1	40	None	0.28
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc([N+](=O)[O-])cc34)c2c1	41	None	0.24
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(Br)ccc34)c2c1	42	None	0.51
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(OC)cc34)c2c1	43	None	0.87
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cccc(Cl)c34)c2c1	44	None	0.34
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cccc(C)c34)c2c1	45	None	0.88
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C(F)(F)F)ccc34)c2c1	46	None	0.28
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C)ccc34)c2c1	47	None	0.88
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C(=O)O)ccc34)c2c1	48	None	0.84
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(OC)cccc34)c2c1	49	None	0.87
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C(=O)O)cc34)c2c1	50	None	0.84
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(OC(F)(F)F)cc34)c2c1	51	None	0.27
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(F)cccc34)c2c1	52	None	0.3
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(Cl)cccc34)c2c1	53	None	0.34
COC(=O)c1cc(OC)c2[nH]c3c(c2c1)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12	54	None	0.84
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C)c(Br)cc34)c2c1	55	None	0.5
COC(=O)c1ccc2c3c([nH]c2c1)C1CCN3C(C(O)c2ccnc3ccc(OC)cc23)C1	56	None	0.84
COC(=O)c1ccc2[nH]c3c(c2c1)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12	57	None	0.84
COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(Br)cc34)c2c1	58	None	0.51
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccccc2O1)C3	59	None	0.95
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2c(O)cccc2O1)C3	60	None	0.93
COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(O)ccc2O1)C3	61	None	0.93
COc1ccc2c(c1)C(=O)CC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)O2	62	None	0.97
COc1ccc2c(c1)OC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)CC2=O	63	None	0.97
