	Chembl_Id
361	CHEMBL1077628
362	CHEMBL1077631
363	CHEMBL1077632
364	CHEMBL1077633
365	CHEMBL1077634
366	CHEMBL1077637
367	CHEMBL1077641
368	CHEMBL1077642
369	CHEMBL1077643
370	CHEMBL1077644
371	CHEMBL1077645
372	CHEMBL1077646
373	CHEMBL1077648
374	CHEMBL1077649
375	CHEMBL1077650
376	CHEMBL1077651
377	CHEMBL1077652
378	CHEMBL1077653
379	CHEMBL1077654
380	CHEMBL1077655
381	CHEMBL1077656
382	CHEMBL1077658
383	CHEMBL1077659
384	CHEMBL1077660
385	CHEMBL1077661
386	CHEMBL1077665
387	CHEMBL1077667
388	CHEMBL1077668
389	CHEMBL1077718
390	CHEMBL1077726
391	CHEMBL1077732
392	CHEMBL1077743
393	CHEMBL1077744
394	CHEMBL1077745
395	CHEMBL1077753
396	CHEMBL1077754
397	CHEMBL1077755
398	CHEMBL1077758
399	CHEMBL1077759
400	CHEMBL1077767
401	CHEMBL1077768
402	CHEMBL1077769
403	CHEMBL1077770
404	CHEMBL1077771
405	CHEMBL1077772
406	CHEMBL1077773
407	CHEMBL1077778
408	CHEMBL1077833
409	CHEMBL1077834
410	CHEMBL1077840
411	CHEMBL1077845
412	CHEMBL1077856
413	CHEMBL1077858
414	CHEMBL1077863
415	CHEMBL1077870
416	CHEMBL1077871
417	CHEMBL1077876
418	CHEMBL1077894
419	CHEMBL1077895
420	CHEMBL1077913
421	CHEMBL1077923
422	CHEMBL1077924
423	CHEMBL1077925
424	CHEMBL1077942
425	CHEMBL1077956
426	CHEMBL1077957
427	CHEMBL1077964
428	CHEMBL1077965
429	CHEMBL1077966
430	CHEMBL1077972
431	CHEMBL1077973
432	CHEMBL1077974
433	CHEMBL1077975
434	CHEMBL1077979
435	CHEMBL1077993
436	CHEMBL1077995
437	CHEMBL107800
438	CHEMBL1078000
439	CHEMBL1078016
440	CHEMBL1078017
441	CHEMBL1078025
442	CHEMBL1078026
443	CHEMBL1078028
444	CHEMBL1078029
445	CHEMBL1078031
446	CHEMBL1078032
447	CHEMBL1078036
448	CHEMBL1078048
449	CHEMBL1078053
450	CHEMBL1078062
451	CHEMBL1078068
452	CHEMBL1078069
453	CHEMBL1078070
454	CHEMBL1078077
455	CHEMBL1078078
456	CHEMBL1078079
457	CHEMBL1078080
458	CHEMBL1078088
459	CHEMBL1078089
460	CHEMBL1078119
461	CHEMBL1078124
462	CHEMBL1078125
463	CHEMBL1078126
464	CHEMBL1078132
465	CHEMBL1078133
466	CHEMBL1078134
467	CHEMBL1078135
468	CHEMBL1078138
469	CHEMBL1078139
470	CHEMBL1078140
471	CHEMBL1078142
472	CHEMBL1078143
473	CHEMBL1078144
474	CHEMBL1078156
475	CHEMBL1078157
476	CHEMBL1078158
477	CHEMBL1078171
478	CHEMBL1078172
479	CHEMBL1078177
480	CHEMBL1078179
481	CHEMBL1078181
482	CHEMBL1078182
483	CHEMBL1078184
484	CHEMBL1078189
485	CHEMBL1078190
486	CHEMBL1078196
487	CHEMBL1078197
488	CHEMBL1078203
489	CHEMBL1078204
490	CHEMBL1078205
491	CHEMBL1078216
492	CHEMBL1078217
493	CHEMBL1078219
494	CHEMBL1078220
495	CHEMBL1078221
496	CHEMBL1078244
497	CHEMBL1078248
498	CHEMBL1078266
499	CHEMBL1078282
500	CHEMBL1078304
501	CHEMBL1078305
502	CHEMBL1078306
503	CHEMBL1078315
504	CHEMBL1078316
505	CHEMBL1078317
506	CHEMBL1078318
507	CHEMBL1078319
508	CHEMBL1078320
509	CHEMBL1078324
510	CHEMBL1078325
511	CHEMBL1078330
512	CHEMBL1078331
513	CHEMBL1078332
514	CHEMBL1078341
515	CHEMBL1078355
516	CHEMBL1078369
517	CHEMBL1078371
518	CHEMBL1078382
519	CHEMBL1078389
520	CHEMBL1078390
521	CHEMBL1078406
522	CHEMBL1078407
523	CHEMBL1078408
524	CHEMBL1078409
525	CHEMBL1078412
